nan ,675
Pkinase ,657
MFS_1 ,656
Thioredoxin ,654
DnaJ ,654
EF-hand_7 ,653
TPR_11 ,653
RRM_1 ,653
LSU_rRNA_bacteria ,653
Ank_2 ,651
Aa_trans ,651
zf-RING_2 ,651
adh_short ,650
TPR_12 ,650
Abhydrolase_5 ,649
zf-DHHC ,648
PP2C ,648
Mito_carr ,648
TRAM_LAG1_CLN8 ,647
C2 ,647
Methyltransf_11 ,647
CRAL_TRIO ,645
Zip ,645
Acetyltransf_1 ,645
Sugar_tr ,645
SSU_rRNA_bacteria ,644
His_Phos_1 ,644
FA_desaturase ,644
DSPc ,644
Pkinase_Tyr ,644
Ammonium_transp ,644
Methyltransf_16 ,643
Hydrolase_4 ,643
Ion_trans ,643
AMP-binding ,642
TauE ,641
FHA ,641
Rhomboid ,640
EamA ,640
zf-C3HC4_3 ,639
NUDIX ,638
zf-Tim10_DDP ,638
RabGAP-TBC ,638
SET ,638
p450 ,638
Pyr_redox_2 ,638
Cyt-b5 ,638
Lipase_3 ,638
PH ,638
UCH ,638
GST_N_3 ,638
FKBP_C ,638
Mpv17_PMP22 ,637
Chloroa_b-bind ,637
Acyltransferase ,636
Exo_endo_phos ,636
TPT ,635
UAA ,635
ATP-synt ,635
Ank_5 ,635
Kinesin ,635
Ank_4 ,634
Synaptobrevin ,634
Aldo_ket_red ,634
BTB ,634
PAP2 ,633
Pro_isomerase ,633
EMP24_GP25L ,633
Peptidase_S10 ,633
Aminotran_1_2 ,633
cNMP_binding ,633
ubiquitin ,632
Amino_oxidase ,632
H_PPase ,632
Cullin ,631
Porin_3 ,630
Aldedh ,630
PPR_2 ,630
V_ATPase_I ,630
MatE ,630
LRR_8 ,630
SNARE_assoc ,630
PIP5K ,630
RSN1_7TM ,629
Band_7 ,629
Na_H_Exchanger ,628
Got1 ,628
PX ,628
ABC2_membrane ,628
Choline_transpo ,628
DAO ,627
HMG_box ,627
Actin ,627
Cupin_8 ,627
KH_1 ,627
Cyclin_N ,625
HSP70 ,625
PRA1 ,624
GrpE ,624
2OG-FeII_Oxy_3 ,624
Peptidase_A22B ,624
PUB ,624
Epimerase ,624
PfkB ,624
FA_hydroxylase ,623
PDEase_I ,623
SpoU_methylase ,623
HAD_2 ,623
Ribosomal_L28e ,622
V-ATPase_C ,622
NAD_binding_1 ,622
AAA ,622
PhyH ,621
Metallophos ,621
WW ,621
TLD ,621
SNAP ,621
Ribosomal_S15 ,620
Ion_trans_2 ,620
Myb_DNA-binding ,619
CS ,619
zf-MYND ,619
CDC50 ,619
HECT ,619
ELO ,619
Abhydrolase_3 ,618
2-Hacid_dh_C ,618
ArfGap ,618
NIF ,617
Ribosomal_S21e ,616
Nuc_sug_transp ,616
Tim17 ,616
Serinc ,616
Inositol_P ,616
ABC_tran ,615
Hist_deacetyl ,615
PseudoU_synth_2 ,615
eIF-3_zeta ,615
NAD_binding_10 ,615
Coatomer_E ,614
ACBP ,614
Peptidase_C1 ,614
